City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
127,Carutapera,-1.195,-46.02,87.19,58,39,11.25,BR,2022-09-27 16:51:03,scattered clouds
128,Tecoanapa,16.5167,-98.75,85.06,65,79,3.8,MX,2022-09-27 16:51:04,broken clouds
129,Constitucion,-35.3333,-72.4167,61.07,60,0,11.88,CL,2022-09-27 16:48:12,clear sky
130,Thompson,55.7435,-97.8558,44.76,70,75,4.61,CA,2022-09-27 16:51:04,broken clouds
131,Castro,-24.7911,-50.0119,65.61,85,100,3.91,BR,2022-09-27 16:48:15,moderate rain
132,Butaritari,3.0707,172.7902,82.51,72,17,17.6,KI,2022-09-27 16:51:05,few clouds
133,Hobart,-42.8794,147.3294,49.26,93,40,5.75,AU,2022-09-27 16:51:06,scattered clouds
134,Tiksi,71.6872,128.8694,31.96,92,100,20.58,RU,2022-09-27 16:48:19,light snow
135,Santa Maria,-29.6842,-53.8069,74.5,35,0,6.91,BR,2022-09-27 16:51:06,clear sky
136,Scarborough,54.2797,-0.4044,56.77,80,90,12.21,GB,2022-09-27 16:51:07,overcast clouds
137,Mataura,-46.1927,168.8643,49.48,99,100,2.44,NZ,2022-09-27 16:49:41,overcast clouds
138,Gogrial,8.5332,28.1004,79.65,68,98,3.51,SS,2022-09-27 16:52:08,overcast clouds
139,Torbay,47.6666,-52.7314,75.76,82,75,16.11,CA,2022-09-27 16:52:08,broken clouds
140,Hobart,-42.8794,147.3294,49.26,93,40,5.75,AU,2022-09-27 16:51:06,scattered clouds
141,East London,-33.0153,27.9116,65.34,100,100,17.27,ZA,2022-09-27 16:52:09,light rain
142,Oranjemund,-28.55,16.4333,57.79,71,77,12.28,NA,2022-09-27 16:52:10,broken clouds
143,Arraial Do Cabo,-22.9661,-42.0278,78.76,69,40,10.36,BR,2022-09-27 16:52:10,scattered clouds
144,Camacha,33.0833,-16.3333,71.02,56,40,12.66,PT,2022-09-27 16:52:11,scattered clouds
145,Saint-Philippe,-21.3585,55.7679,71.19,75,23,12.39,RE,2022-09-27 16:52:11,few clouds
146,Busselton,-33.65,115.3333,50.29,88,0,9.31,AU,2022-09-27 16:49:30,clear sky
147,Bathsheba,13.2167,-59.5167,84.06,85,40,4.61,BB,2022-09-27 16:52:13,scattered clouds
148,Kinsale,51.7075,-8.5306,60.24,94,75,21.85,IE,2022-09-27 16:52:14,broken clouds
149,Beringovskiy,63.05,179.3167,32.45,80,99,12.53,RU,2022-09-27 16:52:15,overcast clouds
150,Kapaa,22.0752,-159.319,73.72,83,40,9.8,US,2022-09-27 16:49:44,scattered clouds
151,Butaritari,3.0707,172.7902,82.51,72,17,17.6,KI,2022-09-27 16:51:05,few clouds
152,Lata,40.1629,-8.3327,70.92,61,0,10.47,PT,2022-09-27 16:52:16,clear sky
153,Springbok,-29.6643,17.8865,57.7,34,67,5.23,ZA,2022-09-27 16:52:17,broken clouds
154,Havre-Saint-Pierre,50.2334,-63.5986,61.16,82,40,11.5,CA,2022-09-27 16:52:18,scattered clouds
155,Makakilo City,21.3469,-158.0858,77.32,74,0,5.75,US,2022-09-27 16:52:18,clear sky
156,Bredasdorp,-34.5322,20.0403,56.34,83,1,6.17,ZA,2022-09-27 16:49:40,clear sky
157,Lompoc,34.6391,-120.4579,57.61,100,100,5.75,US,2022-09-27 16:52:19,mist
158,Bredasdorp,-34.5322,20.0403,56.34,83,1,6.17,ZA,2022-09-27 16:49:40,clear sky
159,Jamestown,42.097,-79.2353,55.04,86,100,12.66,US,2022-09-27 16:50:56,overcast clouds
160,Hobyo,5.3505,48.5268,77.88,86,61,18.88,SO,2022-09-27 16:52:21,broken clouds
161,Esperance,-33.8667,121.9,52.09,82,3,13.71,AU,2022-09-27 16:48:21,clear sky
162,Kathu,7.9178,98.3332,85.69,99,100,17.22,TH,2022-09-27 16:52:21,overcast clouds
163,Tarauaca,-8.1614,-70.7656,99.79,30,18,4.05,BR,2022-09-27 16:52:22,few clouds
164,Rikitea,-23.1203,-134.9692,68.29,59,60,8.88,PF,2022-09-27 16:48:29,broken clouds
165,Yeppoon,-23.1333,150.7333,67.78,84,89,3.8,AU,2022-09-27 16:52:23,light rain
166,Ulaangom,49.9811,92.0667,56.97,39,84,8.52,MN,2022-09-27 16:52:23,broken clouds
167,Esil,51.9556,66.4042,38.12,72,100,13.82,KZ,2022-09-27 16:52:24,overcast clouds
168,Punta Arenas,-53.15,-70.9167,51.91,54,75,35.68,CL,2022-09-27 16:48:10,broken clouds
169,Kodiak,57.79,-152.4072,35.11,93,20,4.61,US,2022-09-27 16:50:55,few clouds
170,Vila Franca Do Campo,37.7167,-25.4333,73.2,66,67,12.8,PT,2022-09-27 16:52:25,broken clouds
171,Atuona,-9.8,-139.0333,76.84,71,26,21.3,PF,2022-09-27 16:49:33,scattered clouds
172,Necochea,-38.5473,-58.7368,56.71,46,1,13.69,AR,2022-09-27 16:52:26,clear sky
173,Tiznit,29.5833,-9.5,74.23,50,9,7.83,MA,2022-09-27 16:52:26,clear sky
174,Avarua,-21.2078,-159.775,75.25,94,98,5.75,CK,2022-09-27 16:52:27,overcast clouds
175,Batagay-Alyta,67.8006,130.4114,20.84,93,100,3.09,RU,2022-09-27 16:52:27,overcast clouds
176,Ushuaia,-54.8,-68.3,51.42,87,100,33.38,AR,2022-09-27 16:49:32,light rain
177,Minnedosa,50.2453,-99.8436,46.96,45,54,7.49,CA,2022-09-27 16:52:28,broken clouds
178,Puri,19.8,85.85,81.12,78,90,5.44,IN,2022-09-27 16:52:28,overcast clouds
179,Andalan,5.9594,121.3903,80.28,75,100,3.91,PH,2022-09-27 16:52:30,overcast clouds
180,Arraial Do Cabo,-22.9661,-42.0278,78.76,69,40,10.36,BR,2022-09-27 16:52:10,scattered clouds
181,Foso,5.7012,-1.2866,76.59,91,82,3.58,GH,2022-09-27 16:53:30,moderate rain
182,Vada,51.97,5.6667,51.04,93,75,4.61,NL,2022-09-27 16:53:31,light rain
183,Punta Arenas,-53.15,-70.9167,51.91,54,75,35.68,CL,2022-09-27 16:48:10,broken clouds
184,Jamestown,42.097,-79.2353,55.04,86,100,12.66,US,2022-09-27 16:50:56,overcast clouds
185,Kasungu,-13.0333,33.4833,74.08,49,23,10.47,MW,2022-09-27 16:53:32,few clouds
186,Kendari,-3.945,122.4989,75.54,86,85,1.03,ID,2022-09-27 16:53:32,overcast clouds
187,Kirakira,-10.4544,161.9205,80.19,74,77,8.03,SB,2022-09-27 16:53:33,broken clouds
188,Busselton,-33.65,115.3333,50.29,88,0,9.31,AU,2022-09-27 16:49:30,clear sky
189,Tokur,53.1333,132.9,32.16,99,100,2.82,RU,2022-09-27 16:53:33,light snow
190,Marawi,7.9986,124.2928,68.81,94,100,4.32,PH,2022-09-27 16:53:34,overcast clouds
191,Griffith,41.5284,-87.4237,58.46,55,75,17.27,US,2022-09-27 16:53:34,broken clouds
192,Ushuaia,-54.8,-68.3,51.42,87,100,33.38,AR,2022-09-27 16:49:32,light rain
193,Thompson,55.7435,-97.8558,44.76,70,75,4.61,CA,2022-09-27 16:51:04,broken clouds
194,Busselton,-33.65,115.3333,50.29,88,0,9.31,AU,2022-09-27 16:49:30,clear sky
195,Ushuaia,-54.8,-68.3,51.42,87,100,33.38,AR,2022-09-27 16:49:32,light rain
196,Lagoa,39.05,-27.9833,69.4,67,15,18.12,PT,2022-09-27 16:53:36,few clouds
197,Camocim,-2.9022,-40.8411,88.79,55,1,17.83,BR,2022-09-27 16:52:10,clear sky
198,Puerto Ayora,-0.7393,-90.3518,71.56,88,95,7.0,EC,2022-09-27 16:48:06,overcast clouds
199,Vygonichi,53.0985,34.0673,48.31,100,100,6.71,RU,2022-09-27 16:53:37,light intensity drizzle
200,Mataura,-46.1927,168.8643,49.48,99,100,2.44,NZ,2022-09-27 16:49:41,overcast clouds
201,Puerto Baquerizo Moreno,-0.9,-89.6,68.99,83,40,12.66,EC,2022-09-27 16:53:38,scattered clouds
202,Mar Del Plata,-38.0023,-57.5575,59.95,50,0,21.85,AR,2022-09-27 16:50:20,clear sky
203,Khorramshahr,30.4397,48.1664,89.56,13,0,9.22,IR,2022-09-27 16:53:39,clear sky
204,Arraial Do Cabo,-22.9661,-42.0278,78.76,69,40,10.36,BR,2022-09-27 16:52:10,scattered clouds
205,Puerto Ayora,-0.7393,-90.3518,71.56,88,95,7.0,EC,2022-09-27 16:48:06,overcast clouds
206,East London,-33.0153,27.9116,65.34,100,100,17.27,ZA,2022-09-27 16:52:09,light rain
207,Punta Arenas,-53.15,-70.9167,51.91,54,75,35.68,CL,2022-09-27 16:48:10,broken clouds
208,Butaritari,3.0707,172.7902,82.51,72,17,17.6,KI,2022-09-27 16:51:05,few clouds
209,Faanui,-16.4833,-151.75,77.43,77,25,14.18,PF,2022-09-27 16:49:36,light rain
210,Mataura,-46.1927,168.8643,49.48,99,100,2.44,NZ,2022-09-27 16:49:41,overcast clouds
211,Port Alfred,-33.5906,26.891,62.19,99,100,8.01,ZA,2022-09-27 16:50:52,overcast clouds
212,Richards Bay,-28.783,32.0377,72.1,91,50,4.56,ZA,2022-09-27 16:53:41,scattered clouds
213,Cap-Aux-Meules,47.3821,-61.8597,62.65,94,100,18.41,CA,2022-09-27 16:53:41,light intensity shower rain
214,Qaanaaq,77.484,-69.3632,33.13,99,100,4.38,GL,2022-09-27 16:48:23,light snow
